	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35
idv001	0.0228452217487164	-0.0381815278641849	0.0202797512196025	-0.0264425619356939	-0.0128125275083203	-0.0111242630680988	0.0180016525538747	-0.051056177967735	0.0117685189801279	0.0132658122121644	0.0271612994805839	0.0384838046595024	0.0519635904754981	-0.0511749176566278	-0.00491462752079142	-0.0483568043061235	-0.0281467803310476	-0.000841800629933185	-0.0666402582996703	-0.0165433661460502	0.0277827159055823	-0.00297785873029888	0.0197159164593015	0.049178018564079	-0.0686608950202974	-0.0440696712364621	-0.0419252891311425	0.016207356273235	-0.0193314639095201	0.000664954067519855	-0.0118426809083142	-0.0150215873267066	0.00849763826595078	0.022666206062397	-0.0108164408824441	0.00594277138892726	-0.0334446654903311	0.0553418556126063	0.0337854470988659	0.043690989240607	0.0223091306177432	-0.0178934443979354	-0.0659858718202171	0.00701672476124656	0.0278293759980694	0.0142674401524573	-0.0121987190399659	0.0658243089708066	0.012860251986609	0.0119920471779731	0.0636472341078689	0.0545045678429067	0.0326455658998662	0.0400624608694479	-0.0391828033333009	-0.00820203408499475	0.0423516089414877	0.0351191139359119	0.0607552986227315	-0.0274703784289402	0.0103216618881558	-0.032500214502746	0.0104755685300371	-0.00198979584719035	-0.0363827785161818	0.0250443801308071	0.0688012049306454	0.0325147669557242	-0.0220645649253029	0.0266918124164891	0.0223222568588069	0.04838784082496	-0.0230084753638316	-0.00307688554125091
idv002	-0.0317423410560378	0.0287766695111105	0.0175208387403596	-0.0430680064187461	0.059863829067353	-0.0050868463795765	0.0689388087595073	-0.0600077026263908	0.039031921143495	-0.0306105882676631	-0.0353862658338624	0.0130376443875825	-0.0250640141788788	0.0483815659282991	-6.99540414744043e-05	-0.0217518378459412	-0.016296105100689	-0.0262076973263752	0.0230356058255892	0.0603359239511479	-0.0533400641949604	-0.0476349721315859	-0.0742417798502387	0.0278202653454118	0.0757236987938426	0.0474132074375315	0.0060406072397315	0.0205769866938767	0.0957324078625985	-0.0468323500474986	-0.0358607131374103	0.00827880731080866	0.00245297490540583	0.0185396116880449	-0.00906462661719764	-0.0191449517635216	-0.0310498589544486	0.0181539517658074	-0.0323119014608993	-0.11354860092842	0.0183253551263621	-0.0620222761170071	-0.0224772210520918	0.0298303299409942	-0.0187138659909525	-0.0231378338106172	-0.0177069837788724	-0.253879216281207	-0.0107519462294647	-0.0140964313999145	-0.134227211032158	-0.147241846570679	-0.0414797222687502	-0.103952610504957	-0.0119703681805482	0.0586523007829644	-0.07628506853276	0.0545320186220958	0.0541178807093853	0.0103868617930024	-0.0570519605341673	-0.0525184342098883	0.0992100594193712	0.153392848071849	0.0506613778532385	0.0140554155105202	0.0367103974526477	0.0702948112748519	0.0371741876618278	0.0794089223277085	0.0146004954629729	-0.0134825096266996	0.0531285849971725	0.0505919596844392
idv003	-0.010900393875568	-0.021524156277496	-0.0134979189772221	0.00976154592648903	0.0380156297541002	0.0235844884710021	0.0261452020687159	0.0634228783744085	0.0581743017604225	-0.0515731480185212	-0.0710265893955322	-0.0504031526276259	0.0336684191474538	0.044064855934845	0.0794389166226111	0.0199288356974075	0.0279234221082535	0.108258838216547	0.125323849126684	0.130604308174047	-0.0242426568008463	-0.0215888866088159	-0.0379079670021059	-0.12351326638178	-0.0294092144526874	0.0466652694666476	0.0204854782513202	-0.0398857706162719	0.0844543714519972	0.0308153966963994	-0.0334686478085585	-0.0259495667782636	-0.0362685235281947	0.0693588236989783	0.0271245133832808	-0.0298842055013668	0.0307964677291143	0.00995086259379369	0.0450139089229574	0.00107116933157444	0.00980265930841796	0.0432060030522694	0.070372736192295	-0.0281739961462699	-0.0209063680180841	-0.0303455141109507	-0.0220338088238615	-0.065798594204964	-0.082574672246164	-0.10173621501904	-0.0741025961045356	0.0168065047335056	0.0437525928526201	0.0609597661953285	0.072952796364491	0.0175738749124646	-0.0222687125469464	-0.0276378272539082	-0.0376951825240559	-0.0427143860192107	0.00791919409082129	-0.0365066402016323	0.0107346707777537	-0.0154823765191346	0.00462722416288552	-0.0176418118167832	0.0131822013800855	-0.00365389086980365	0.0124073462085491	0.054215773733847	-0.00254658158330887	0.0148980438222188	0.0246939838975283	0.0413313854968064
idv004	-0.0208927239396023	-0.0176312282677789	-0.0372769961166327	-0.0476900734174003	-0.0345213065673107	0.0313118261335669	0.067526456056106	0.00388992038527347	0.0371245997279663	-0.122598136501741	-0.0250701551161811	-0.0610599886693475	0.00330248080930038	0.00865022102949205	-0.0393473659536445	0.0252331776351726	0.0794114861174213	0.010472355854433	0.0229886563890846	0.0341161136450385	-0.063608939674736	0.00100828343472772	-0.00968979362475411	-0.0593413202942135	-0.0133615032508716	0.0400045213952671	0.0250857118016479	-0.0503856388266135	0.0511088702420404	0.0534497058985273	0.0105479803204611	-0.0413442129455376	0.00184727587199018	0.0287037509777882	0.0327714382661598	-0.0345204798985261	0.0413900440207429	0.0155583787538668	0.01611574088639	0.00262875189292754	0.00311265442589184	0.0330529220001211	0.0748358643675538	-0.0415790263062705	0.011838770193731	-0.00184451167071494	-0.0222240458503133	0.00868049703354983	-0.0115680629797309	0.000964082153478515	0.0462038435459758	0.0368267305028147	0.0682206289260119	0.0609330522285307	0.0988747377177125	0.0206870175588959	-0.00299523748042892	0.0197875391752382	-0.0185739071269677	0.0185857490397331	0.0184598574344627	0.0400265220699285	-0.0275011689031445	-0.0237961213669003	0.0732930971057818	-0.0302917030576457	0.0238431257468972	0.0263341610797724	0.0376103392184732	0.027030634099271	0.0018243952424673	-0.0304316275799466	0.0533861258346455	0.058000749652562
idv005	-0.0085345947479134	-0.0091386592117347	-0.0998861853455066	0.0906257162786825	0.0483721314648929	0.0527165412113783	0.0191270345904264	0.0398958980474263	0.0287466386043451	0.104529351835118	0.075333500160426	0.0790965690105534	0.0229677980039407	-0.00660154444958374	0.0192265708178163	-0.00779492492774973	0.0656689770624433	0.0131872500427936	0.0253075124458649	0.0469556594059128	-0.0141884314609379	-0.0526536508934214	-0.0310727931571505	0.00581828496042249	0.0531835061961171	0.0560121133007866	-0.0642074999720315	-0.0341953644777077	0.0194741796506526	0.0281632583706469	0.0139252765518639	0.0723715697943133	0.0862269167570044	0.0716526101685796	0.0380897166163074	-0.000190554730079158	0.00145006282048688	-0.000375206380463062	0.0511586674783084	0.0556071844690309	0.0453744967486071	0.0106954720107732	-0.0523873461822965	0.0703589876724193	0.0928063315719519	0.0685494760894295	-0.059868992583398	-0.0240539496921613	0.0477605679631048	-0.00325315590068703	-0.0629840396994356	-0.0186331709520111	0.0286669860358414	0.0458459017541496	-0.0354014473004252	0.0594582454155719	-0.0852609287084861	-0.0479363750137541	-0.0129135550375108	-0.0255270429124621	0.0169611650029273	-0.009435262616631	0.0285073014174882	0.0903750908022642	0.258013933498752	0.0331234381388815	-0.0314324007361931	0.0178853877798537	0.0105286907809598	-0.00343454823067678	-0.0291793989593528	-0.0138125409307086	0.0697450296415698	-0.00111472254153726
idv006	-0.0503854560249835	-0.00898925364601579	0.0385556575771103	0.0377262301638058	0.0350637763740105	0.0230129220829194	-0.0279435941339301	-0.0110331713296585	-0.00491293671729474	0.00345294380821968	0.0188409020693128	-0.0166339264571587	-0.0809223616102213	0.0349063029752014	0.017172288499125	-0.0709841475106676	0.0057996808129132	-0.0667062109606928	0.000803164657178823	0.0268271049807236	-0.00762227616379043	0.0268513896946449	-0.00082321790062703	-0.0409692520250163	0.032825368992815	0.0590759037868804	0.0167243568342381	-0.044665390084248	-0.000272649835496445	-0.0387083576315959	0.038284083297934	-0.0379128834874747	0.0140962044626259	-0.0216311729871316	0.0317754223823643	0.0293731618511308	0.00553420111234538	-0.0636777345105435	-0.089629414118154	0.076939485611039	0.0339243045107596	0.0363868031938804	0.0369412158277405	0.0143392878051228	-0.0267971212960259	0.0135956079297103	-0.00646009429748753	-0.0131350556498662	0.00405888264114835	0.0751043839827825	0.0447140280171599	-0.0136296289894465	-0.0173315097150321	0.00532628232606407	-0.00281328048272237	-0.0121076545255084	0.0395152175019058	-0.112219188816581	-0.0507047471667281	-0.0576303082075143	-0.0222801169769459	-0.0406998675253549	0.0392658629577479	0.0493209638398062	0.00709012768898154	-0.0154252705142766	-0.0439618525804944	0.0200499385701172	0.0222062423648536	-0.021960088735341	-0.0528966892395095	0.0158976914462083	0.0475207685475358	0.0861369853726176
idv007	-0.0194800835746472	0.0298188055710394	-0.00417296100598984	-0.0394105684160923	-0.0278980016522698	0.0189795659272295	0.042733309433211	0.0242703836881264	0.0504809210038514	-0.0151486021906123	-0.0302819912737954	0.0239276091117592	-0.0471533427356406	0.0924648473235027	0.00489071963873866	0.0468122738324463	0.0140695995613393	0.01699066932678	0.0632242959781906	-0.00400338501615286	0.014127262449849	-0.0173325062780951	-0.0567100569006639	-0.00508825446589612	0.0689412316636122	0.0447093044392572	0.0855767103793264	0.0300237949123543	-0.0138067554945931	-0.0108935330332535	-0.0410377483976778	0.0858689384942274	0.0248517926971869	0.05042466920489	0.0367309072399011	0.00853847907560807	0.0274428857253367	0.0406112967404967	-0.0345485906753456	-0.0136084106205669	-0.0180939891164654	0.0223913327196293	-0.0236107923167087	0.0683641981798192	0.03109355000992	0.0389884051147862	0.0180434257295184	-0.00628955825706014	-0.0685088299628568	-0.0188534890562807	-0.00416333341146696	0.0175755141366943	-0.00538196209405764	0.033512353298103	0.066151427813144	0.0480742618131886	-0.00583400029738372	0.0196407834200071	0.031498334852485	0.0158072510833396	0.0344479740581005	0.0502077976325695	-0.00104327097085336	-0.0376646699677518	-0.0109443304982332	-0.0237679185982309	0.0236854147376031	0.104757546155599	0.120889737459459	0.0525466199766839	0.0219291271647401	-0.00931351964538404	-0.0204394421061664	-0.083940676049415
idv008	0.0531847197237346	-0.0335314333129039	0.0157744481350387	-0.0336616996142496	-0.0674840221774418	-0.0862961888846977	-0.091636432399145	-0.0102338114855729	-0.0812614997153663	0.0114069875805733	-2.44339767593988e-05	-0.00437204457926224	0.0505675125685105	-0.0772873625486972	-0.02573210737345	-0.0861619732012292	-0.0393942776462603	0.00963780746177545	-0.0602686718215161	-0.0309074275133201	0.00672234112500448	-0.0212380858074053	-0.0077676769734019	-0.0219892973741594	-0.0899616036817565	-0.0424481833199311	-0.0186320722899295	0.00887408451792963	-0.051853924536896	0.0300819930086021	-0.0109176107213323	-0.0593090280970103	-0.1226861553558	-0.0121453956016996	-0.0596572507741	-0.0234494541116055	-0.0404840804170797	-0.00959533241531207	0.0781169760013532	0.0516419041202156	0.0716520187542613	-0.0717528923298742	-0.00492106118389656	0.0618981723000896	0.0273444513198729	-0.0155116225308792	0.0611166569512805	0.0467452331132436	0.0893002908559868	-0.0296095025917919	-0.00581482067983455	-0.0141819787795639	-0.0266436594298049	-0.100085947037693	-0.0598069637605864	0.011271626686405	0.0525021428562576	0.0384342367812318	0.059758991615073	0.0542963012312127	-0.0253799825314046	0.0247513797478201	0.0299701670483694	0.0686982104108978	0.00961163294117989	0.0535253769640905	0.0362231035901034	-0.000711854305339045	-0.0077697476746539	0.00469597397839907	0.00705164845961981	0.0450093573806669	-0.0523875635078455	0.0192818891702589
idv009	-0.0300481382881606	8.45716613380459e-06	-0.0218106074931992	0.0480811805961238	0.0458312908386066	-0.00334804685041221	-0.0074396253305823	0.0192543809388545	0.0090266166997735	0.0285985161552962	0.0737440766551436	0.0493050792264596	-0.0209138001784365	-0.0321297653204666	-0.0208418056991772	0.0101911435808553	0.0833988469421524	-0.0373054668999662	0.00172291525084917	-0.026108135194342	-0.078079982206296	-0.0448045190455071	-0.000411681877263452	-0.0188713031930171	0.052447953995572	0.0413907553694815	0.00509765729969292	0.0272337769079332	0.0276400525417041	0.0458381452141551	-0.00795280633178406	0.0617046496416488	0.0654318061480867	0.0214614280666655	0.0566019087096372	0.0576592368552334	0.0474167040342613	-0.00634023760674818	-0.026627056342212	-0.0378675917105763	-0.0259348704555966	0.025821493856549	-0.0352002096276548	-0.0551850546197345	-0.000312930710287651	0.0179744254044102	-0.0251124254006007	0.0304908306279283	-0.0290402230697686	-0.0110251404792694	0.0149380158628076	0.00850461013704126	0.0270528084699571	0.0284518526068327	0.00498670152155243	0.00718672883536808	-0.0853241051411189	-0.0631653266803089	-0.0299024827200623	-0.145122995770895	-0.025888933735718	-0.0625991330484655	-0.0194893136835358	-0.0745453499258748	-0.0905641169552099	-0.099047639023577	-0.0691009856232134	-0.0675787853655258	-0.0484881514775082	-0.0690309484617146	-0.0580504217249872	-0.0345132599116152	-0.00639180224472585	-0.034774494958998
idv010	0.0828765933714724	-0.0571736049834645	-0.0189081110410021	0.0298179676346043	0.0118543497563037	0.0470363669503517	0.00307408172695685	0.0344841637718184	0.0261091541082149	0.0405217235438648	0.0217201685319307	0.0295607490775196	0.049222916554046	0.0340099951281003	0.00722533009072342	0.00713797507726723	0.00941697817747844	0.0567530101083836	-0.00132451822153992	-0.00793050676115735	0.0103443568490533	-0.0182895707748213	0.0240502825900525	0.0747561255824039	-0.0406514269892284	-0.0583857498132322	0.00488307820889958	0.0688159697608372	0.0185414644776623	0.0291144820690176	0.00187862172788397	-0.00784092259559243	0.00431356452053046	0.064238312316971	0.0130782826643208	-0.0190152703876001	0.0307917359461602	0.0430517025532704	0.0239207822436852	0.0695273852546155	0.0659396515669268	0.014149181228876	-0.0195352325727069	0.137258121438667	0.0594412744105358	0.0144632170531388	0.103134277340303	0.0526539084750397	0.0329821936850621	0.0300611669517035	0.0214532931421821	-0.0459046373682497	0.0348423825902764	0.00155296906529251	0.0590852428898177	0.0293818393278113	0.0306019777897342	0.0968413675167802	0.0707049314727366	0.0021065749995482	-0.0290662509336341	-0.0313041246407711	-0.00581128290349275	0.0569416460231573	0.0486180706232114	0.0239121746794276	0.117864898904648	0.122447653588633	0.0758593810576854	0.0636327106962507	0.0362044071501179	0.0575853014513848	0.0298062420427897	0.0173411254468581
