KEGG_module	Metabolite_cluster	SCC.bg.adj	p.adjust
M00124	M09	-0.0111822045400831	0.771103111854117
M00570	M09	0.0730894406833978	0.0449810188837833
M00432	M09	0.0855384361649413	0.0168241833703299
M00208	M09	0.0717193540880335	0.0729496789669487
M00237	M09	-0.0980652478207512	0.00259363251712898
M00357	M09	-0.0619290548313058	0.000362677326928451
M00535	M09	0.106754805890612	0.00915275340612819
M00061	M09	0.0819237014427266	0.0247467219870018
M00530	M09	0.0191857978622938	0.319860704249899
M00239	M09	-0.0741837009721731	0.00729853957918023
M00307	M09	-0.0929550500515901	0.00093471667923967
M00149	M09	0.103201945680444	0.0176224564299306
M00019	M09	0.0859495175085945	0.0621950139636118
M00348	M09	0.117938064836153	0.0110745447845671
M00390	M09	-0.0710549580248139	0.0185463453876995
M00188	M09	-0.112511307030848	0.0153284029949305
M00063	M09	0.111796493140904	0.0173879534243137
M00563	M09	-0.0631616794142019	0.00214887490113904
M00060	M09	0.135357521847902	0.000295397050745051
M00179	M09	-0.093649720255596	4.75450977229397e-24
M00332	M09	0.023860701038392	0.116799850729776
M00122	M09	0.0778764116165889	0.00447402258656326
M00440	M09	0.130699455906652	0.00342508455355321
M00360	M09	-0.0906183005719735	5.89310548277323e-08
M00184	M09	-0.0668137952076272	0.000580231178864994
M00567	M09	-0.064763809890652	1.48002750278632e-07
M00356	M09	-0.0778451215392605	0.00102920786177482
M00310	M09	-0.10400137574281	0.00594825474731463
M00230	M09	0.106292333481198	0.00843103704229862
M00127	M09	0.0920602049790465	0.00259363251712898
M00023	M09	0.0995894182464048	0.00315452019378054
M00178	M09	-0.110770849156613	1.01681767524108e-19
M00259	M09	0.0995442709228789	0.0259131359572716
M00311	M09	-0.0258431419871313	0.684160524727637
M00048	M09	0.0242784593806022	0.0665003248900533
M00439	M09	-0.0775719903114211	0.00915275340612819
M00197	M09	0.00485061748727454	0.847933714031274
M00159	M09	-0.0701482593868523	0.00216213326868219
M00051	M09	0.034144208793847	0.0188344606343875
M00124	M12	0.096961872565486	0.0735431367716005
M00570	M12	0.1100317922045	0.00987653236417799
M00432	M12	0.142519753518956	0.0118268208019873
M00208	M12	0.203730871700751	0.00892024092648973
M00237	M12	-0.179966470024999	0.00197061887669102
M00357	M12	-0.155002912556761	7.17655127318867e-05
M00535	M12	0.16770344996819	0.00517239701953317
M00061	M12	0.15091704828267	0.00850193206625458
M00530	M12	0.0884244845847288	0.00150055917811664
M00239	M12	-0.0900587113112797	0.0468621472946401
M00307	M12	-0.134572570474058	0.0130767006689315
M00149	M12	0.124975457035072	0.0172666081284005
M00019	M12	0.122681888298225	0.0126459947654391
M00348	M12	0.253159535108772	0.00260606223378745
M00390	M12	-0.142076004977771	0.0105132290431523
M00188	M12	-0.188953525362746	0.0141094016425622
M00063	M12	0.160998558125459	0.0158155495043853
M00563	M12	-0.112564098081803	0.00228298806458901
M00060	M12	0.167758176380928	0.000178837309076642
M00179	M12	-0.170834135064561	2.83351135724523e-28
M00332	M12	0.0580928675857879	0.0537591848082425
M00122	M12	0.110310543415047	0.00709866370153955
M00440	M12	0.15624802611008	0.00328437511807308
M00360	M12	-0.183543840909977	2.52633526739159e-08
M00184	M12	-0.152388735524134	5.3171302120795e-06
M00567	M12	-0.158144532541873	3.59849008858506e-11
M00356	M12	-0.153007637875861	0.000336088411753697
M00310	M12	-0.136566820863743	0.014743244619792
M00230	M12	0.211460714408755	0.00321917370520136
M00127	M12	0.16325427089445	0.00466140985168222
M00023	M12	0.132877489116783	0.00245297212542204
M00178	M12	-0.197176522859564	9.38415464844125e-21
M00259	M12	0.236410279151094	0.00889921188823101
M00311	M12	0.0338764838524316	0.282283431832422
M00048	M12	0.0231863682779816	0.434417851898659
M00439	M12	-0.128742432729684	0.0171817966428288
M00197	M12	0.0202238384413541	0.839646158693731
M00159	M12	-0.00391853337266995	0.764049451879378
M00051	M12	0.0152064712930172	0.224157602640766
M00124	M08	0.0619099074677918	0.014151156599248
M00570	M08	0.0064106519501078	0.531387668236407
M00432	M08	0.0342490277135219	0.135464916093615
M00208	M08	0.0572474915655004	0.0901870559005199
M00237	M08	-0.0679565467802555	0.011945171712553
M00357	M08	0.0122805335863763	0.137809119861243
M00535	M08	0.0621868403941009	0.0531592821390134
M00061	M08	0.052531210122521	0.0646563319767112
M00530	M08	0.0163822705248679	0.40273756771784
M00239	M08	-0.0519911126197955	0.0598126527709571
M00307	M08	-0.0248700782170446	0.368461219138697
M00149	M08	0.0951102022645844	0.0197681819259259
M00019	M08	0.0241198957306128	0.509472869847224
M00348	M08	0.0548426427892859	0.0770604941696346
M00390	M08	-0.043502850335286	0.24723616783465
M00188	M08	-0.0152801608807373	0.563209508678479
M00063	M08	0.107028568131972	0.0131489992310733
M00563	M08	0.0166936303945995	0.536843368831298
M00060	M08	0.131713453091424	0.000447424332136469
M00179	M08	-0.0488578259259726	2.74614596023972e-06
M00332	M08	-0.00675572084244547	0.621708288752658
M00122	M08	0.000193011815858478	1
M00440	M08	0.0321023406551944	0.288105918448369
M00360	M08	-0.0438211337680232	0.0018072073051876
M00184	M08	0.0155014518404042	0.246929915049633
M00567	M08	0.0155210987049295	0.110555681072906
M00356	M08	0.0268194143856038	0.0621950139636118
M00310	M08	-0.025717798355357	0.384220315455609
M00230	M08	0.0792175215681661	0.0158155495043853
M00127	M08	0.0457640389447902	0.0853985507883462
M00023	M08	0.0358334260863084	0.0275249698955488
M00178	M08	-0.0277365532304377	0.0228379500432251
M00259	M08	0.0696175737351554	0.0447362133921263
M00311	M08	0.0841328725040932	0.0131146637539115
M00048	M08	0.0323892542531122	0.204679564336768
M00439	M08	-0.0590363806995391	0.0333174077015895
M00197	M08	-0.00436998841366153	0.607875806109091
M00159	M08	0.0504731012018137	0.0633752687473232
M00051	M08	0.000881740100935252	0.721575218775276
M00124	M02	-0.00607632593598147	0.87679696852582
M00570	M02	0.0828178562337753	0.00546472947638608
M00432	M02	0.116494282163201	0.0043873948162481
M00208	M02	-0.0252356927132831	0.325119572953696
M00237	M02	-0.0308202646198213	0.150891988527961
M00357	M02	-0.0241343042198901	0.036589869844783
M00535	M02	0.0900437330356912	0.0112690597425859
M00061	M02	0.0502354848574976	0.0137767198086449
M00530	M02	-0.0270645049450914	0.078174675647999
M00239	M02	-0.0710854194959715	0.0101342029280087
M00307	M02	-0.0412710565338636	0.0292410109384906
M00149	M02	0.0151310255621039	0.50017595106725
M00019	M02	0.0807834878902353	0.014121804197823
M00348	M02	0.0254499802592847	0.680777294164883
M00390	M02	0.034902786413819	0.143821125766085
M00188	M02	-0.0296910962873929	0.430771694205581
M00063	M02	-0.0133493731820422	0.613811291667108
M00563	M02	-0.0370124089260188	0.0135532833445597
M00060	M02	-0.00848705819047685	0.7510752531624
M00179	M02	-0.0283172869915376	0.0188016286455627
M00332	M02	-0.102966201338913	2.92118094233162e-05
M00122	M02	0.0145320611418995	0.515926471974522
M00440	M02	0.0336643410401014	0.265754974417822
M00360	M02	-0.0492584352765499	1.06965033464479e-05
M00184	M02	0.0119963366275049	0.563081688996527
M00567	M02	-0.0267718386704511	0.0112690597425859
M00356	M02	-0.0252541930907575	0.265825667683438
M00310	M02	-0.0360112431462488	0.175464078933473
M00230	M02	-0.0267113976000764	0.207792691084401
M00127	M02	0.0761917457058588	0.11932408343083
M00023	M02	0.0979866496793603	0.00417628349719356
M00178	M02	-0.0733463047897221	3.21258678155844e-15
M00259	M02	-0.0285894296422493	0.18528466416667
M00311	M02	-0.0587536846377876	0.0536425206513655
M00048	M02	0.0175926224470706	0.114916012845731
M00439	M02	-0.00898547667902913	0.783358142384357
M00197	M02	0.0651756512355413	0.10131751497515
M00159	M02	-0.0449721750324015	0.0324236527076683
M00051	M02	0.0539343094640531	0.00303858982600031
M00124	M11	0.0750311535078338	0.036589869844783
M00570	M11	0.096046042661119	0.00892024092648973
M00432	M11	0.095845735423129	0.0125470799045034
M00208	M11	0.154508554986952	0.00870754081020088
M00237	M11	-0.0841991611784766	0.0131146637539115
M00357	M11	-0.0901315447067173	0.000379921691254343
M00535	M11	0.099241377467306	0.00975762286196965
M00061	M11	0.138536901400751	0.003816188388807
M00530	M11	0.0555131559116861	0.00569763953662279
M00239	M11	-0.073259368185641	0.0228453895743016
M00307	M11	-0.0595564746894653	0.0153498260692164
M00149	M11	0.0945247114096565	0.0197681819259259
M00019	M11	0.10369426035963	0.0172666081284005
M00348	M11	0.165493569092312	0.00271794045186259
M00390	M11	-0.0639090165737521	0.040082479825112
M00188	M11	-0.172422652715713	0.00807574523798111
M00063	M11	0.0810598061221914	0.0714585292414751
M00563	M11	-0.113133959668321	0.000585698108004726
M00060	M11	0.104680698458669	0.000299548478692922
M00179	M11	-0.110978961647042	8.75458907862883e-20
M00332	M11	0.0152645919512842	0.425232760430415
M00122	M11	0.149132084591182	0.000580231178864994
M00440	M11	0.0949899114399984	0.00386988893354302
M00360	M11	-0.115285330687965	4.40747353288164e-08
M00184	M11	-0.0701375076372714	0.00372438485972024
M00567	M11	-0.085689509272646	4.45247205932314e-08
M00356	M11	-0.107465591733665	0.000168939040122771
M00310	M11	-0.0775235502092949	0.0344668211924182
M00230	M11	0.181122884483688	0.00382612842078256
M00127	M11	0.136944702906424	0.0070282143133216
M00023	M11	0.113480415688705	0.00564473262584623
M00178	M11	-0.141684644045618	9.99580743561359e-23
M00259	M11	0.13913208429946	0.0100002991254192
M00311	M11	0.0241776388915408	0.67225829502543
M00048	M11	0.0543507516573553	0.102351264768779
M00439	M11	-0.0453966427045674	0.196523735091948
M00197	M11	-0.0743766970092404	0.0266678815867289
M00159	M11	-0.0155647988745362	0.402513980700608
M00051	M11	0.0650968848826455	0.0305865385159358
M00124	M10	-0.00544180846983447	0.780444387994618
M00570	M10	0.0892779497730032	0.00915275340612819
M00432	M10	0.0889639412776081	0.0158110576797333
M00208	M10	0.0811059920484231	0.0507206572393155
M00237	M10	-0.0992956236302314	0.00851311602967037
M00357	M10	-0.0793641198566553	0.00067381097189121
M00535	M10	0.0904234502453348	0.0113991630605738
M00061	M10	0.101356280143141	0.00343414843081565
M00530	M10	-0.017694549716943	0.38557544202929
M00239	M10	-0.15876941499919	0.00154973011100658
M00307	M10	-0.10257183984319	0.000266936645465312
M00149	M10	0.0938932254667081	0.0585949286025348
M00019	M10	0.0841421103946365	0.0236194902467331
M00348	M10	0.0432710308607857	0.197655787460764
M00390	M10	-0.0588809629561044	0.0682582424499899
M00188	M10	-0.140570844543483	0.015762802876406
M00063	M10	0.0950713146529126	0.0258586879256258
M00563	M10	-0.115854573758376	0.000316854813574134
M00060	M10	0.117145129479333	0.000482033548832552
M00179	M10	-0.0764110724658433	5.13037751658494e-13
M00332	M10	0.0126688430927221	0.733036988791631
M00122	M10	0.0645292314318317	0.0339351351678742
M00440	M10	0.0852535764221464	0.100020789927242
M00360	M10	-0.0974477947144445	8.60314825936944e-09
M00184	M10	-0.0682374083459033	0.000818216857136627
M00567	M10	-0.0663783451868851	2.15861706506031e-06
M00356	M10	-0.115854573758376	0.000144793224274952
M00310	M10	-0.0997497830891765	0.013352138952149
M00230	M10	0.145791593408092	0.00569763953662279
M00127	M10	0.151591971003135	0.00709866370153955
M00023	M10	0.143757412314067	0.00278712662065413
M00178	M10	-0.100775210596562	9.50305513483209e-15
M00259	M10	0.0649945568408764	0.0603402755426679
M00311	M10	-0.0669646590314108	0.0633752687473232
M00048	M10	0.0695209038025321	0.104330333843377
M00439	M10	-0.0578646627543257	0.122856678180855
M00197	M10	0.0122976053927465	0.771103111854117
M00159	M10	-0.121257130905777	0.000185151784533762
M00051	M10	0.0690599964054235	0.00372438485972024
M00124	L21	0.0229950818874648	0.381548511280412
M00570	L21	-0.0604192495796557	0.0338944574979112
M00432	L21	-0.0941595655249352	0.00403301299339317
M00208	L21	0.00491759388270071	0.89875091350311
M00237	L21	0.0319619380860755	0.0527653137089293
M00357	L21	-0.010862201776821	0.0638452679148963
M00535	L21	-0.0941595655249352	0.00797323999260667
M00061	L21	-0.0773309295098349	0.00379515722043103
M00530	L21	0.0336863261403244	0.0454786726128653
M00239	L21	0.035637326498179	0.0596848435698121
M00307	L21	-0.0206926324198936	0.484817550819388
M00149	L21	-0.0242888809950004	0.756914381755984
M00019	L21	-0.063818780613645	0.0488766124246417
M00348	L21	-0.00151831748272151	0.875896884779489
M00390	L21	-0.0138262031191751	0.763357722099426
M00188	L21	-0.0525283599869724	0.0808057679608817
M00063	L21	0.0262197740888216	0.424241068759549
M00563	L21	-0.0133083649818405	0.247654265083487
M00060	L21	-0.000139724587970581	0.853235777950792
M00179	L21	0.0296020155730651	0.000312298011622815
M00332	L21	-0.0654813658075656	1.11201562856606e-05
M00122	L21	-0.0345568381219845	0.178352496858325
M00440	L21	-0.0160083906408852	0.960543681110108
M00360	L21	0.0336892962785296	0.000765134527583174
M00184	L21	-0.0167119407499529	0.186766929639505
M00567	L21	-0.014395419623017	0.0755365503134218
M00356	L21	-0.00722086328954388	0.442156675419654
M00310	L21	-0.0246148505039639	0.161879155978259
M00230	L21	-0.0493720528507892	0.0782579398029574
M00127	L21	-0.0278639549904197	0.129578690120569
M00023	L21	-0.073482234845443	8.79203307515229e-05
M00178	L21	0.0444903885813526	1.40986967943881e-11
M00259	L21	-0.0139240641956397	0.486284300775548
M00311	L21	0.0323056389408456	0.121862121935598
M00048	L21	-0.00953235906701414	0.431675701705584
M00439	L21	0.0139370323053833	0.425232760430415
M00197	L21	0.0271721686649785	0.314195720912939
M00159	L21	0.0428867802222291	0.00564473262584623
M00051	L21	-0.0580698007236864	0.00724518971781497
M00124	L05	-0.0309964392931022	0.570083862903207
M00570	L05	0.0890182907741019	0.00197061887669102
