	module	kME	kIN	cluster_name	HOMA.ir_estimate	HOMA.ir_p.value	HOMA.ir_p.adjust	HOMA.ir_BMI.adj.partial_estimate	HOMA.ir_BMI.adj.partial_p.value	HOMA.ir_BMI.adj.partial_p.adjust
L_526_unknown	mediumpurple3	0.864734461296125	0.922572615998253	L01	0.0838577557337872	0.155052623981683	0.23377985991042	0.0702094896998947	0.234920466226947	0.36487800323905
L_437_unknown	mediumpurple3	0.853666372889168	0.913232442347727	L01	0.0474837511970971	0.421293562406361	0.527218800954246	0.00577191453173683	0.922307530827126	0.951638865729755
L_920_unknown	mediumpurple3	0.697397422510942	0.351408454661023	L01	0.0193508331118253	0.74323745555694	0.816908420411392	-0.0406871202883081	0.491600595408325	0.633297237614254
L_1420_unknown	mediumpurple3	0.678212043537792	0.337297951543924	L01	-0.00364222591175055	0.950841797676043	0.967406985788866	-0.0220751814083399	0.709115346901546	0.807782891919056
L_834_unknown	mediumpurple3	0.525647480777654	0.291861203144418	L01	0.0596899215288142	0.311904989676635	0.412732282411982	0.00217286111867305	0.970712764892379	0.984633119046845
L_436_unknown	mediumpurple3	0.722726860794965	0.270509012515336	L01	0.077827923011486	0.187054594715778	0.270395750777263	-0.00607108200848142	0.918294292633298	0.948615330597605
L_562_unknown	mediumpurple3	0.716445092644657	0.206548178694598	L01	0.0647121289579036	0.27286522136088	0.372320769333537	0.0262286418347485	0.657581090971707	0.773883610387272
L_235_unknown	mediumpurple3	0.592435878461218	0.200191861628322	L01	0.0349930280795407	0.553525985052356	0.658816253948184	0.0101513574153453	0.863807474142408	0.916096062165556
L_1271_unknown	grey60	0.838241735679061	5.51789099626501	L02	-0.102480790374139	0.0819987358337375	0.131558411337645	-0.033048966410426	0.576453163803806	0.709231701533896
L_1270_unknown	grey60	0.764017315818359	5.12100737436278	L02	-0.0515050491766963	0.383006395275926	0.486957332745589	0.00507146921092211	0.931711309382597	0.959859775992093
L_1272_unknown	grey60	0.716922692811922	4.984521261093	L02	-0.0825043888563826	0.161848379078931	0.242357572774604	-0.0275286871491463	0.64176406663164	0.76383875321918
L_1274_unknown	grey60	0.805224138583364	4.88602983189565	L02	-0.0673104142733544	0.254031465958622	0.349343114881873	0.00680538894404188	0.908452776216674	0.941780629545333
L_1281_unknown	grey60	0.713462704073947	4.379429630647	L02	-0.0574117580974325	0.330765847011684	0.43246400295856	-0.00354756588137474	0.952201389556455	0.97673116774175
L_1288_unknown	grey60	0.744090331217658	4.36056893883848	L02	-0.0482690074426339	0.413646474120217	0.519877060730718	-0.00247920701380185	0.966585889335657	0.984633119046845
L_1275_unknown	grey60	0.772881774776363	4.34530051568608	L02	-0.0550651925540701	0.350944320539455	0.454102252278527	-0.00825258687476141	0.889099036385533	0.927312790572667
L_1284_unknown	grey60	0.671834062608651	3.90689179355689	L02	-0.0318666784595999	0.589526192025723	0.692661417996161	0.0162491472400651	0.783641974019167	0.857016690687628
L_1276_unknown	grey60	0.704223384616482	3.81923363243626	L02	-0.11057412826368	0.0604668164404514	0.100510305885836	-0.0229001493012385	0.698764318847126	0.803303862611657
L_1283_unknown	grey60	0.703093793397804	3.36900247242774	L02	-0.0166843944193466	0.777617552826505	0.844525882583642	0.0244800615183873	0.679096985080476	0.788977399112065
L_1320_DG.40.1.	grey60	0.895579304834443	2.67275877336335	L02	-0.0607234152571024	0.303585960921007	0.404166112107602	0.0177821645560408	0.763807466919593	0.84483351582725
L_542_unknown	grey60	0.882204121396739	2.62755807571245	L02	-0.116398754650039	0.0480497916462629	0.0812579488071936	-0.0615489381672648	0.29789189921968	0.440799499521014
L_2221_unknown	grey60	0.845572225067858	2.28088239344056	L02	-0.0760551890039024	0.197327604058015	0.282659738103696	-0.00946266965652366	0.872966133532476	0.919132611748135
L_700_unknown	grey60	0.838259196731291	2.23326940595145	L02	-0.0822800299290864	0.162996256884311	0.24324483991594	-0.0268278819005157	0.650270920856954	0.767705292009018
L_476_unknown	grey60	0.78979311328096	2.00221238986944	L02	-0.0830399152094523	0.15913304002513	0.239519833439886	-0.0227996778769822	0.700022023308048	0.803695009721953
L_452_unknown	grey60	0.790840442545127	1.95073507821353	L02	0.0449936655860519	0.446081892382227	0.551931832947502	0.124806128330259	0.0342510679401713	0.0722986397966026
L_494_unknown	grey60	0.817084093826725	1.90297530090243	L02	-0.0600585467286513	0.308920781922719	0.410022128733791	0.0810761093306382	0.170006361452264	0.282591219415907
L_1314_unknown	grey60	0.640312252840077	1.76240012363036	L02	-0.0647999323961914	0.272213660035273	0.372011179704992	-0.0194613528876934	0.742257786386512	0.83041867289219
L_1292_unknown	grey60	0.803556496124977	1.62720663545515	L02	-0.0101279898022713	0.86388249704852	0.900906032636314	0.013838607176018	0.81511012747499	0.882616157809755
L_440_unknown	grey60	0.733954039299775	1.59434904067906	L02	0.0788173906531539	0.181494309244655	0.264101353651691	0.141058214511259	0.0166015365311119	0.0375786718378657
L_479_DG.33.5.	grey60	0.807624207899736	1.44268174332994	L02	0.0513267062156415	0.384658121608668	0.488348571781439	0.0235158480167958	0.6910750500508	0.797173728824684
L_1299_unknown	grey60	0.768175999272744	1.32331816225875	L02	-0.0548388437471526	0.352930948641003	0.455327703990454	-0.0506099049340761	0.392168260153449	0.529336511393561
L_1191_unknown	grey60	0.752721104194876	1.24064910382168	L02	-0.0435718965966667	0.46059798762062	0.568287094585441	-0.0603201348356121	0.307660198226322	0.447261336466141
L_549_unknown	grey60	0.7831870182913	1.16700354301945	L02	-0.0350683947701957	0.55267152677219	0.658694227826447	0.0150803152998673	0.798859860982019	0.868239749652914
L_538_unknown	grey60	0.732073759406613	1.09624532412111	L02	-0.046407475056952	0.431907622895172	0.53666819525698	-0.0482418904472746	0.414725198877436	0.549620687165861
L_466_unknown	grey60	0.593957782814209	0.983300185911347	L02	0.0907444803679904	0.123768273190589	0.191218707786519	0.147208182917787	0.012384985239856	0.0290864532710827
L_1660_unknown	grey60	0.71531005111967	0.877049296331283	L02	0.0150880134931965	0.798414833500604	0.858676865027803	0.0547820300111127	0.35427215836151	0.494175813255865
L_788_SM.d18.1.27.3.	grey60	0.683706837103837	0.599407858633962	L02	-0.076961579171383	0.192024880851648	0.276213129106804	0.0226735411936256	0.701602165331125	0.804454838782809
L_376_unknown	grey60	0.504324700364769	0.593052325182257	L02	0.0583639154962019	0.322795455443268	0.424577806258713	0.11980784716753	0.0421852726632991	0.0881964173103819
