	module	kME	kIN	cluster_name	HOMA.ir_estimate	HOMA.ir_p.value	HOMA.ir_p.adjust	HOMA.ir_BMI.adj.partial_estimate	HOMA.ir_BMI.adj.partial_p.value	HOMA.ir_BMI.adj.partial_p.adjust
M_323_unknown	grey60	0.899615667826525	0.386385280984677	M01	0.142824355913395	0.0151004254815237	0.0577369209587669	0.124989484996052	0.0339859480114658	0.187210730571634
M_100_unknown	grey60	0.811907530743376	0.356198421702393	M01	0.0437110692354864	0.459165550654515	0.648820886794423	0.0466141080813958	0.430664069555954	0.752504422611211
M_1101_unknown	grey60	0.780224766783905	0.187722926153623	M01	-0.0793315553804355	0.178653604504384	0.352392515119948	-0.0266287893289347	0.652695997342349	0.874672571415791
M_43_beta.D.Galactofuranose	grey60	0.717317348670265	0.185227809822359	M01	0.0706330157709412	0.231285921714618	0.421048608135977	0.0964035510179906	0.102529498696918	0.350758811331561
M_297_unknown	grey60	0.739281709400406	0.165914838330936	M01	-0.123545407309769	0.0357976707402865	0.114061205790129	-0.0841450059207905	0.154358218562142	0.425139161294035
M_347_unknown	grey60	0.702162524454863	0.143343768642124	M01	0.0587577945966855	0.31953508201309	0.514560892257654	0.0324321178225298	0.583594486693642	0.846733072211757
M_67_unknown	darkturquoise	0.876431990628449	0.384235075615094	M02	0.119876487088626	0.041708470786444	0.126684607528919	0.10504231867024	0.0751084481653669	0.296400804850918
M_114_unknown	darkturquoise	0.832986583542298	0.362648421172551	M02	0.156235542248509	0.00779430205214553	0.0342317319857743	0.177438779126454	0.00250980220052712	0.0422319449939331
M_244_unknown	darkturquoise	0.841211507371617	0.214193429029162	M02	0.0769466646378534	0.19211128452727	0.371643853996206	0.102145966184135	0.0835472905744369	0.305088420636989
M_267_unknown	darkturquoise	0.531640947256343	0.0208334265311338	M02	0.06955243863679	0.238519637991635	0.425927924985063	0.0907539602315784	0.124386320616996	0.388707251928114
M_1071_unknown	tan	0.928006816938179	1.26295562540774	M03	-0.0189557977436454	0.74830071985517	0.885616067025696	0.0382062818306095	0.518410088644397	0.82824044889064
M_1093_unknown	tan	0.89900818912797	0.841135968322444	M03	-0.0322324752566515	0.585259014822024	0.776363999253706	0.0690768574762872	0.242576395822579	0.536308358111144
M_1091_unknown	tan	0.861427298407018	0.745712818335559	M03	-0.0204818563982788	0.728802501978164	0.87907959748955	0.00433033083419399	0.941671717288159	0.977423443187846
M_57_unknown	tan	0.823914441917618	0.690520232151705	M03	0.0016269753253268	0.978030049998282	0.988631731802358	0.0544164315250397	0.357497908701964	0.691588216238918
M_1086_unknown	tan	0.773795668345634	0.635216366329312	M03	-0.0507007478221761	0.390489658915842	0.576859723398403	-0.00468638857512495	0.936885308752381	0.977423443187846
M_63_4..1.1.3.3..tetramethylbutyl.phenol	tan	0.773148841679372	0.48170449738076	M03	0.0287898628779119	0.62596951457415	0.804111036508295	0.0740763092643576	0.210070299832965	0.487484865314129
M_84_unknown	tan	0.636778111182874	0.225009181907897	M03	0.0442564646917575	0.453576052755546	0.643721472251321	0.0380169036377875	0.520487072810177	0.82824044889064
M_232_unknown	tan	0.657005073358045	0.213117463038617	M03	-0.174457185989407	0.00292252126206899	0.0153196679060068	-0.0748116533972279	0.205567145885999	0.487484865314129
M_1089_unknown	tan	0.524364974037779	0.139156198296132	M03	0.0509162536442437	0.388475964099918	0.576505426175678	0.0615192085999604	0.298125771979831	0.598091826502748
M_68_unknown	darkorange	0.838791758495824	0.140941688776793	M04	-0.105827309886721	0.0724444771324473	0.193418504757122	-0.0348553941599871	0.555779292846969	0.846342971410975
M_253_unknown	darkorange	0.830898327084395	0.133258370727386	M04	-0.118727156226339	0.0437213053346122	0.130361690217881	-0.0663289537903006	0.261870820993551	0.559921163308579
M_2085_unknown	darkorange	0.796838133548212	0.0586419811939145	M04	-0.102246946822936	0.0827026720264679	0.213320384195255	-0.104389167752573	0.076948344700571	0.296400804850918
M_47_Creatinine	darkorange	0.482965705976319	0.0116555263374003	M04	0.0809711866082074	0.169814646791795	0.347409180043472	0.0959309651421427	0.10423260306993	0.352350360152228
M_25_3.Hydroxybutyric.acid	skyblue	0.882954286437318	0.138026595219731	M05	-0.0791529341042877	0.179636714053551	0.352392515119948	-0.013225699926014	0.823160990132177	0.952054525953586
M_27_2.Hydroxybutyric.acid	skyblue	0.779950683366173	0.0833486274335162	M05	0.261322747364818	6.74119607755992e-06	0.00011530993290563	0.250566496289647	1.68809525867e-05	0.000498755417334319
M_1099_unknown	skyblue	0.743737526570673	0.0714310601582642	M05	-0.0324409113221741	0.582833919984687	0.776363999253706	-0.0274979099545133	0.642136691541365	0.874672571415791
M_127_2.Ethyl.3.hydroxypropionic.acid	skyblue	0.650861976781894	0.0313445580355503	M05	0.0323980447728334	0.583332279119771	0.776363999253706	0.129544423653892	0.0279383281542012	0.169050286043917
M_933_unknown	lightgreen	0.824093562344075	0.316350358754385	M06	0.0842836017872615	0.152959506458137	0.331039621081144	0.0301595135447264	0.61025185665839	0.865187146948067
M_949_unknown	lightgreen	0.815230745313375	0.29219891059713	M06	0.120584270291684	0.0405081840141598	0.125837577595148	0.0437712967371463	0.459331704957762	0.769533646602263
M_237_unknown	lightgreen	0.773220304161204	0.287549809153045	M06	0.188450667760186	0.00128789389912944	0.00775121328179755	0.151801981405688	0.00988204131536631	0.0944606890439427
M_335_unknown	lightgreen	0.733310745680686	0.0582966776446945	M06	0.0478122532424263	0.418084509432378	0.603899846957879	0.00653127524026902	0.912125020013937	0.969953865020578
M_969_unknown	lightgreen	0.528980413056029	0.0303072555548269	M06	0.0902009770092115	0.126043675227203	0.296841988759717	0.0555432761725473	0.347614433461931	0.676495154940883
M_86_Arabinofuranose	blue	0.887112196894606	1.52384050327171	M07	0.13409642216536	0.0226037334996834	0.0798501455151858	0.104025804222158	0.0779876393349794	0.296400804850918
M_246_unknown	blue	0.817097061077284	1.11351087175866	M07	0.126702406645439	0.0312957951045768	0.103787075601913	0.101769242393139	0.084698973773139	0.305857405291891
M_160_unknown	blue	0.807256078013711	0.944758586793327	M07	0.0757279573400055	0.199267989828866	0.379055638299931	0.0146622795069858	0.804321411438953	0.951135181413429
M_173_unknown	blue	0.77110096315944	0.795292360802637	M07	0.0750739762700588	0.203187384129445	0.381710403711386	0.0205223034247844	0.728743884734938	0.922464497866563
M_260_unknown	blue	0.739992439022063	0.715650715043549	M07	0.193398078856085	0.000950531586276003	0.00651677047727843	0.0996019079002716	0.0915750696192497	0.323498887241915
M_238_Unknown	blue	0.733009202255432	0.712492635070367	M07	0.186083375473385	0.00148547871573434	0.00865207607079045	0.165115291999689	0.00496616519694102	0.0645601475602332
M_282_unknown	blue	0.790672212345055	0.672261357005824	M07	0.0676294623119197	0.2517824404284	0.447154607318197	-0.00789009041276437	0.893941081772388	0.969752474312416
M_1033_unknown	blue	0.7221729460716	0.51129267580092	M07	0.135472675737371	0.0212403665520815	0.0758584519717196	0.117244524474197	0.0468212486968924	0.21988571955432
M_272_unknown	blue	0.736318740442136	0.501514515035096	M07	0.149362495363038	0.0110082953133737	0.0441690861339069	0.12340814934105	0.0363308280331327	0.190443856625293
M_218_unknown	blue	0.67365960046328	0.419289120873639	M07	0.100736437192037	0.0873678998390286	0.221832558185034	0.123655182521942	0.0359557172664702	0.190443856625293
M_242_D.Xylopyranose	blue	0.619685679317656	0.378519245430693	M07	0.0515392758557668	0.382689899415869	0.573153075162015	0.00466850847018886	0.937125614552408	0.977423443187846
M_216_unknown	blue	0.581730385523095	0.312766824086289	M07	0.195487720641816	0.000834224305568649	0.00589397607195241	0.149612311443647	0.0110129456722912	0.10226306695699
M_967_unknown	blue	0.673841674554255	0.294895967780031	M07	0.00580572397313384	0.921717588112411	0.982014977548294	-0.0192178112291509	0.745371268770859	0.924461289748624
M_1621_unknown	blue	0.521848657087357	0.140372094131244	M07	0.0504050520302671	0.39326289746481	0.577770089797336	0.0331304216822364	0.575513220559463	0.846342971410975
M_141_unknown	blue	0.475572085932412	0.0863899818245122	M07	0.154508546908748	0.00851140193344897	0.035464174722704	0.0291870283172877	0.621820926139058	0.866380435682922
M_327_unknown	blue	0.43311581213098	0.0710340121490007	M07	0.050960617322083	0.388062210341651	0.576505426175678	-0.0189871434062441	0.748323990452753	0.924461289748624
M_1105_unknown	blue	0.436210321711087	0.0625206788090629	M07	-0.0176032563407716	0.765717276412986	0.885616067025696	0.00364444609347747	0.950897679516283	0.977423443187846
M_965_unknown	blue	0.381417877555632	0.0523903941434045	M07	-0.0486742148295331	0.409732612603378	0.594478120964722	-0.0877300522614429	0.137485945746512	0.404697993183585
M_55_unknown	darkolivegreen	0.83143930174751	0.208984674111449	M08	0.255476696566364	1.09518859612258e-05	0.00017796814686992	0.141376888043992	0.0163556020134377	0.130342757812829
M_301_unknown	darkolivegreen	0.77285572167249	0.135331500771792	M08	0.164961411507245	0.00493146799694025	0.0235695161618468	0.102987802131412	0.0810192892084345	0.299218965826605
